Date,Transaction Type,Received Quantity,Received Currency,Sent Quantity,Sent Currency,Fee Currency,Fee Amount,Market Value,Source,Internal Transfer,External ID
2019-09-21T18:41:51.000Z,Income,0.148,TOMO,,,,,0.059570235035887965,Binance,FALSE,71038fa3-2299-4670-82fe-2bf315ec5e68
2019-09-23T03:10:55.000Z,Income,2.8916,WPR,,,,,0.027224593846993706,Binance,FALSE,968213a5-36c6-4a05-b495-1baf8e429be8
2019-09-23T04:13:26.000Z,Income,0.4014,AST,,,,,0.013055002805026281,Binance,FALSE,a947d7b1-26af-4cd1-8f60-06a9ed7f24e6
2019-09-23T14:08:10.000Z,Income,0.0142,LOOM,,,,,0.0003459726196696355,Binance,FALSE,7b0d6e88-a8de-4b9c-a300-9e6deee345b6
2019-09-23T15:11:31.000Z,Income,0.1782,RCN,,,,,0.005723754292704699,Binance,FALSE,89e38449-7f79-490f-b7cf-49092ff512f0
2019-09-24T05:01:25.000Z,Income,0.031116,GVT,,,,,0.03916478595772657,Binance,FALSE,c01561c3-b901-4d6a-8a1a-3140268ef59c
2019-09-25T13:59:48.000Z,Income,1.9096,LRC,,,,,0.06453183659739861,Binance,FALSE,07b86b19-d38a-4ef8-80ed-f2ac85d55ecb
2019-09-25T19:55:15.000Z,Income,0.002632,USDC,,,,,0.0026391823441344595,Binance,FALSE,f1235ccf-013d-49d4-b8f2-363547e7e355
2019-09-26T08:28:22.000Z,Income,1.4124,XEM,,,,,0.060476927247502775,Binance,FALSE,673b6127-1ffa-48b2-b579-52d56ce7b53d
2019-09-26T20:28:28.000Z,Income,0.1804,DOCK,,,,,0.0021234038050006693,Binance,FALSE,39c0f37e-c492-41d3-ad04-0e18516c6669
2019-09-27T08:50:04.000Z,Income,0.1692,RVN,,,,,0.004638855386284284,Binance,FALSE,988d9331-eb23-431c-ac14-7ae29acb0b51
2019-09-28T13:29:24.000Z,Income,0.1436,VIBE,,,,,0.0027620701585672133,Binance,FALSE,e05303f4-8604-4ad2-88d0-06f7cd20bdea
2019-09-28T19:53:41.000Z,Income,0.0758,ADX,,,,,0.004921364260195308,Binance,FALSE,3b8854d1-be32-4fa3-b1c0-1873c8ad4612
2019-09-29T09:33:57.000Z,Income,1.382,HBAR,,,,,0.05182662884943947,Binance,FALSE,06f3303b-5305-4b3c-836e-9582e7295ecf
2019-09-29T17:39:47.000Z,Income,0.0188,ALGO,,,,,0.0042694647042721525,Binance,FALSE,a4c437c1-987a-4948-b439-5e63500763b9
2019-10-01T01:03:30.000Z,Income,0.0024,REQ,,,,,0.000025004228099122316,Binance,FALSE,48d5e645-a974-4782-b590-14854e706bc6
2019-10-01T01:13:53.000Z,Income,0.000206,XZC,,,,,0.0010446706540949509,Binance,FALSE,16638123-2413-4ba3-950c-ec65fcc48aac
2019-10-02T08:55:40.000Z,Income,5.184,ZIL,,,,,0.026038970234244518,Binance,FALSE,1f725093-f573-49d8-a726-9968325ea0bb
2019-10-02T21:44:49.000Z,Income,0.0208,NAV,,,,,0.001983868930735093,Binance,FALSE,37855387-e098-4c1b-9c61-79b7545c48aa
2019-10-02T21:56:02.000Z,Income,0.0758,QLC,,,,,0.0013736235376344125,Binance,FALSE,384d5bf7-e69d-40ed-928c-196d082bc7bc
2019-10-02T23:25:53.000Z,Income,0.002186,LUN,,,,,0.0022056638759936392,Binance,FALSE,814a42a3-fe7a-47d7-987a-a8e78b54e095
2019-10-03T12:20:10.000Z,Income,0.1012,POA,,,,,0.0019651302375998125,Binance,FALSE,9007522c-fbf5-46b5-a70b-f0556939ec86
2019-10-03T14:29:16.000Z,Income,2.4938,YOYOW,,,,,0.0384168918739709,Binance,FALSE,c70b5499-a3b9-422a-ad74-75a5e3cdb8fb
2019-10-03T14:30:54.000Z,Income,0.0002,EDO,,,,,0.00007507679008966299,Binance,FALSE,e64a46b7-8fe8-4e25-ac04-eb2bdff8af70
2019-10-03T15:42:28.000Z,Income,0.05406739,VTHO,,,,,0.000024523883988311434,Binance,FALSE,d5bd0859-3fa7-4266-8e14-175a09d48b62
2019-10-04T20:58:09.000Z,Income,0.1406,VGX,,,,,0.008554918078718523,Binance,FALSE,3dbfd407-bcd2-4df7-ac8a-171206f7b8dd
2019-10-05T22:20:31.000Z,Income,0.091834,ONT,,,,,0.05741899803738818,Binance,FALSE,ddf42b95-d92f-4782-a229-7a39d269d3b1
2019-10-07T16:24:18.000Z,Income,0.2218,ENG,,,,,0.0775508529496086,Binance,FALSE,85776cb4-5f17-4e5f-b12d-a31248f642b7
2019-10-07T23:20:03.000Z,Income,0.9542,TFUEL,,,,,0.003933006651755836,Binance,FALSE,b1c0a7ef-5784-4f45-819e-6c7b10079d9c
2019-10-07T23:54:11.000Z,Income,1.62,IOTX,,,,,0.009596800407992545,Binance,FALSE,a8b980ad-98ba-4f1b-b555-4338950e4291
2019-10-08T13:06:10.000Z,Income,0.18,MANA,,,,,0.005848365936849767,Binance,FALSE,95a0bac1-e378-4b1c-a99e-c26154880216
2019-10-08T18:17:14.000Z,Income,0.00953752,PAX,,,,,0.00956401578101298,Binance,FALSE,f6baf98f-f83e-43e2-a60c-5d1ebb1a1fb2
2019-10-08T20:30:15.000Z,Income,0.00952981,TUSD,,,,,0.009550393865234113,Binance,FALSE,91ce5303-f379-45a5-a54f-dda7d980f0ea
2019-10-09T23:51:29.000Z,Income,5.626,SNGLS,,,,,0.06962984404034162,Binance,FALSE,f30f0ce0-fa69-4231-8379-8b4b53847199
